,,,YAW,PITCH,ROLL
1099,51:04.9,ypr,129.03,128.57,152.63
1101,51:04.9,ypr,129.34,128.71,152.99
1103,51:04.9,ypr,129.67,128.83,153.28
1105,51:04.9,ypr,130.02,128.94,153.52
1107,51:04.9,ypr,130.4,129.07,153.75
1109,51:04.9,ypr,130.78,129.23,153.99
1111,51:05.0,ypr,131.18,129.38,154.26
1113,51:05.0,ypr,131.58,129.57,154.56
1115,51:05.0,ypr,131.98,129.78,154.91
1117,51:05.0,ypr,132.38,130,155.27
1119,51:05.0,ypr,132.77,130.24,155.65
1121,51:05.0,ypr,133.16,130.48,156.03
1123,51:05.0,ypr,133.55,130.75,156.4
1125,51:05.0,ypr,133.94,131.03,156.76
1127,51:05.0,ypr,134.34,131.34,157.12
1129,51:05.0,ypr,134.73,131.65,157.5
1131,51:05.1,ypr,135.11,131.98,157.88
1133,51:05.1,ypr,135.49,132.32,158.26
1135,51:05.1,ypr,135.84,132.64,158.63
1137,51:05.1,ypr,136.19,132.96,158.98
1139,51:05.1,ypr,136.51,133.29,159.29
1141,51:05.1,ypr,136.84,133.63,159.58
1143,51:05.1,ypr,137.2,133.99,159.83
1145,51:05.1,ypr,137.58,134.38,160.06
1147,51:05.1,ypr,137.97,134.78,160.29
1149,51:05.1,ypr,138.35,135.2,160.53
1151,51:05.2,ypr,138.71,135.61,160.77
1153,51:05.2,ypr,139.08,136,161.01
